college,curr_text,last2years,last3to5years,count,totalcases,date,serving,deglvl,group,empstatus
Central Virginia,Emergency Medical Services,0,1,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Nursing,0,1,14,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Emergency Medical Services,1,0,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Emergency Medical Services,1,0,16,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Medical Informatics,1,0,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Health Information Technology,1,0,87,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,1,0,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Radiography,0,1,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Nursing,0,1,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,1,0,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Medical Laboratory Technology,0,1,30,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Health Sciences,1,0,15,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Emergency Medical Services,1,0,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Radiography,0,1,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Radiography,1,0,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Emergency Medical Services,1,0,17,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Emergency Medical Services,1,0,52,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Health Information Technology,0,1,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Nursing,0,1,28,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Human Services,0,1,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CERT,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Respiratory Therapy,0,1,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Health Sciences,0,1,17,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Nursing,0,1,23,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Emergency Medical Services,1,0,24,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Radiography,1,0,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Emergency Medical Services,0,1,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Emergency Medical Services,1,0,14,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Radiography,0,1,19,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,1,0,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Respiratory Therapy,0,1,17,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Health Sciences,1,0,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,1,0,16,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Medical Laboratory Technology,0,1,17,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Emergency Medical Services,0,1,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Medical Transcription,0,1,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Human Services,0,1,14,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CERT,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Emergency Medical Services,1,0,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Nursing,1,0,12,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Emergency Medical Services,0,1,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Radiography,1,0,14,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Medical Laboratory Technology,1,0,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Emergency Medical Services,1,0,17,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Emergency Medical Services,1,0,21,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,AAS,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Nursing,0,1,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Health Information Technology,0,1,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"Recent Employment, Not in Health"
Central Virginia,Emergency Medical Services,0,1,13,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Central Virginia,Emergency Medical Services,0,1,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Central Virginia,Nursing,0,1,11,42,4/7/2020,Amherst; Appomattox; Bedford; Campbell; Lynchburg,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Dabney S. Lancaster,Nursing,1,0,15,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Dabney S. Lancaster,Massotherapy,1,0,15,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Advanced Health Care,1,0,21,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Nursing,1,0,18,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,AAS,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Nursing,0,1,11,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,AAS,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Massotherapy,1,0,12,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Dabney S. Lancaster,Advanced Health Care,1,0,21,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Dabney S. Lancaster,Nursing,0,1,12,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Dabney S. Lancaster,Advanced Health Care,0,1,13,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"No Recent Employment, Never in Health"
Dabney S. Lancaster,Practical Nursing,0,1,12,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Massotherapy,0,1,65,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Dabney S. Lancaster,Massotherapy,0,1,19,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Nursing,1,0,11,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Dabney S. Lancaster,Practical Nursing,0,1,11,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Dabney S. Lancaster,Advanced Health Care,0,1,19,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Dabney S. Lancaster,Emergency Medical Services,1,0,18,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Advanced Health Care,0,1,11,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CERT,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Emergency Medical Services,1,0,12,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Dabney S. Lancaster,Emergency Medical Services,0,1,13,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"Recent Employment, Not in Health"
Dabney S. Lancaster,Emergency Medical Services,0,1,14,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Dabney S. Lancaster,Massotherapy,0,1,11,22,4/7/2020,Alleghany; Bath; Botetourt; Buena Vista City; Covington; Lexington; Rockbridge,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Practical Nursing,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Medical Laboratory Technology,1,0,14,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Medical Laboratory Technology,1,0,62,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Emergency Medical Services,0,1,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Nursing,0,1,11,19,4/7/2020,Danville; Halifax; Pittsylvania,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Emergency Medical Services,0,1,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Dental Assisting,1,0,15,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Emergency Medical Services,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Dental Assisting,1,0,13,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Dental Assisting,0,1,36,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Practical Nursing,0,1,14,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,First Year Studies,1,0,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CERT,Recent Graduate,"Recent Employment, Not in Health"
Danville,First Year Studies,0,1,19,19,4/7/2020,Danville; Halifax; Pittsylvania,CERT,Recent Graduate,"Recent Employment, Not in Health"
Danville,Health Sciences,0,1,13,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Health Sciences,1,0,18,19,4/7/2020,Danville; Halifax; Pittsylvania,AAS,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Health Information Technology,0,1,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Medical Laboratory Technology,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Nursing,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,AAS,Recent Graduate,"Recent Employment, Not in Health"
Danville,Emergency Medical Services,0,1,25,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Practical Nursing,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Health Information Technology,1,0,15,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Nursing,1,0,21,19,4/7/2020,Danville; Halifax; Pittsylvania,AAS,Recent Graduate,"Recent Employment, Not in Health"
Danville,Medical Laboratory Technology,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Practical Nursing,1,0,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Health Sciences,0,1,12,19,4/7/2020,Danville; Halifax; Pittsylvania,AAS,Recent Graduate,"Recent Employment, Not in Health"
Danville,Practical Nursing,1,0,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Health Information Technology,1,0,19,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Dental Assisting,0,1,15,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Health Information Technology,0,1,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Emergency Medical Services,1,0,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Emergency Medical Services,0,1,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Nursing,0,1,27,19,4/7/2020,Danville; Halifax; Pittsylvania,AAS,Recent Graduate,"No Recent Employment, Never in Health"
Danville,Practical Nursing,1,0,12,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Emergency Medical Services,1,0,30,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Prior Employment in Health"
Danville,Medical Office Clerk,1,0,11,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"Recent Employment, Not in Health"
Danville,Health Information Technology,0,1,82,19,4/7/2020,Danville; Halifax; Pittsylvania,CSC,Recent Graduate,"No Recent Employment, Never in Health"
